Date,ASML,CBRS,GOOG,INTC,MEI,KYMR,MSFT,ORCL,IBM,SPCX,NBIS,CRM,COST
6/23/2026,,,,,,,,,,,,,
6/24/2026,$1762.77,$182.26,$345.04,,,,,,,,,,
6/25/2026,$1841.18,$168.52,$342.19,,,,,,,,,,
6/26/2026,$1794.62,$181.59,$334.69,$128.32,$19.16,$108.12,,,,,,,
6/29/2026,$1883.11,$216.16,$351.28,$131.72,$19.42,$109.32,,,,,,,
6/30/2026,$1989.44,$221.00,$353.33,$139.63,$18.97,$114.67,$373.02,$146.55,,,,,
7/1/2026,$1843.04,$221.27,$357.89,$127.02,$18.41,$114.20,$384.28,$142.50,$286.25,$157.54,$229.18,,
7/2/2026,$1769.32,$204.86,$356.18,$120.35,$15.30,$113.51,$390.49,$140.27,$289.52,$162.00,$215.62,$166.11,
7/6/2026,$1825.07,$192.01,$364.90,$122.20,$15.32,$114.76,$386.74,$143.76,$299.52,$160.42,$213.02,$165.65,
7/7/2026,$1747.28,$176.61,$363.62,$110.39,$15.70,$119.24,$388.84,$141.60,$306.13,$149.47,$195.19,$169.52,
7/8/2026,$1768.65,$181.72,$358.71,$110.24,$15.52,$114.16,$383.34,$140.49,$302.05,$148.30,$216.48,$166.58,
7/9/2026,$1804.25,$198.53,$356.24,$112.54,$15.65,$119.00,$384.36,$144.22,$295.30,$152.16,$216.20,$162.50,
7/10/2026,$1797.32,$215.08,$355.03,$109.84,$15.80,$119.35,$385.10,$140.64,$287.56,$145.30,$219.65,$163.32,
7/13/2026,$1726.04,$204.62,$350.67,$103.12,$15.82,$110.40,$390.99,$131.54,$290.23,$139.14,$210.51,$171.22,
7/14/2026,$1775.64,$203.81,$357.33,$107.76,$17.42,$112.08,$384.93,$127.94,$217.07,$136.08,$194.09,$167.56,
7/15/2026,$1815.27,$184.01,$370.21,$102.99,$15.76,$114.12,$395.63,$132.49,$211.20,$135.27,$199.51,$167.00,
7/16/2026,$1784.87,$180.46,$353.81,$96.98,$15.34,$113.99,$401.10,$124.21,$219.05,$131.11,$171.77,$172.68,
7/17/2026,$1747.58,$172.86,$346.12,$95.04,$14.99,$115.77,$393.82,$126.41,$212.67,$123.99,$177.71,$170.77,
7/20/2026,$1739.02,$176.88,$351.37,$97.06,$15.12,$111.06,$402.29,$121.38,$213.00,$119.85,$182.62,$173.79,
7/21/2026,$1801.51,$208.57,$346.19,$105.45,$16.53,$113.37,$397.75,$127.05,$210.50,$123.54,$216.92,$170.06,
