Date,Day,Stocks,Cost,Value at close ,Gain/loss,Growth,Growth change
6/23/2026,Tuesday,None,$0.00,$0.00,0,0.00%,
6/24/2026,Wenesday,"2 x ASML
11 x GOOG
5 x CBRS","$8,213.00","$8,232.28",$19.28,0.23%,0.23%
6/25/2026,Thursday,"2 x ASML
11 x GOOG
5 x CBRS","$8,213.00","$8,289.05",$76.05,0.93%,0.69%
6/26/2026,Friday,"2 x ASML
15 x GOOG
5 x CBRS
5 x INTC
3 x KYMR
5 x MEI","$10,638.55","$10,579.30",-$59.25,-0.56%,-1.48%
6/29/2026,Monday,"2 x ASML
15 x GOOG
5 x CBRS
5 x INTC
3 x KYMR
5 x MEI","$10,638.55","$11,199.88",$561.33,5.28%,5.83%
6/30/2026,Tuesday,"2 x ASML
15 x GOOG
5 x CBRS
5 x INTC
3 x KYMR
5 x MEI
5 x MSFT
5 x ORCL","$13,213.55","$14,118.69",$905.14,6.85%,1.57%
7/1/2026,Wednesday,"3 x ASML
15 x GOOG
5 x CBRS
20 x INTC
3 x KYMR
5 x MEI
5 x MSFT
5 x ORCL
5 x NBIS
8 X IBM
5 x SPCX","$21,312.13","$21,836.37",$524.24,2.46%,-4.39%
7/2/2026,Thursday,"4 x ASML
15 x GOOG
5 x CBRS
20 x INTC
3 x KYMR
5 x MEI
5 x MSFT
5 x ORCL
5 x NBIS
8 X IBM
5 x SPCX
5 x CRM","$23,917.13","$23,956.92",$39.79,0.17%,-2.29%
7/6/2026,Monday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$24,342.82",$425.59,1.78%,1.61%
7/7/2026,Tuesday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,642.63",-$274.60,-1.15%,-2.93%
7/8/2026,Wednesday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,680.88",-$236.35,-0.99%,0.16%
7/9/2026,Thursday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,898.90",-$18.33,-0.08%,0.91%
7/10/2026,Friday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,794.51",-$122.72,-0.51%,-0.44%
7/13/2026,Monday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,198.85",-$718.38,-3.00%,-2.49%
7/14/2026,Tuesday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$22,849.66","-$1,067.57",-4.46%,-1.46%
7/15/2026,Wednesday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$23,054.34",-$862.89,-3.61%,0.86%
7/16/2026,Thursday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$22,463.95","-$1,453.28",-6.08%,-2.47%
7/17/2026,Friday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$22,034.34","-$1,882.89",-7.87%,-1.80%
7/20/2026,Monday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$22,164.66","-$1,752.57",-7.33%,0.54%
7/21/2026,Tuesday,"4 x ASML
5 x CBRS
15 x GOOG
20 x INTC
5 x MEI
3 x KYMR
5 x MSFT
5 x ORCL
8 x IBM
5 x SPCX
5 x NBIS
5 x CRM","$23,917.23","$22,834.10","-$1,083.13",-4.53%,2.80%
