Date,Ticker,Action,Shares,Price,Total,Reason,Realized G/L
6/24/2026,ASML,Buy,4,"$1,789.41","$7,157.64",,
6/24/2026,CBRS,Buy,5,$190.00,$950.00,,
6/24/2026,GOOG,Buy,15,$342.20,"$5,133.00",,
6/26/2026,INTC,Buy,20,$131.06,"$2,621.20",,
6/26/2026,MEI,Buy,5,$16.71,$83.55,,
6/26/2026,KYMR,Buy,3,$114.00,$342.00,,
6/30/2026,MSFT,Buy,5,$368.00,"$1,840.00",,
6/30/2026,ORCL,Buy,5,$147.00,$735.00,,
7/1/2026,IBM,Buy,8,$279.98,"$2,239.84",,
7/1/2026,SPCX,Buy,5,$160.00,$800.00,,
7/1/2026,NBIS,Buy,5,$238.00,"$1,190.00",,
7/2/2026,CRM,Buy,5,$165.00,$825.00,,
7/22/2026,COST,Buy,3,$925.00,"$2,775.00",,
